index,Name,OMXName
173,ref_bt_out_common_spl,OMX.ST.AFM.pcmprocessing.spl
174,ref_usb_out_common_spl,OMX.ST.AFM.pcmprocessing.spl
175,ref_speaker_playback_music_effect_spl,OMX.ST.AFM.pcmprocessing.spl
176,ref_speaker_playback_alert_effect_spl,OMX.ST.AFM.pcmprocessing.spl
177,ref_speaker_playback_ring_effect_spl,OMX.ST.AFM.pcmprocessing.spl
178,ref_speaker_playback_notification_effect_spl,OMX.ST.AFM.pcmprocessing.spl
179,ref_headset_playback_music_effect_spl,OMX.ST.AFM.pcmprocessing.spl
180,ref_headset_playback_alert_effect_spl,OMX.ST.AFM.pcmprocessing.spl
181,ref_headset_playback_ring_effect_spl,OMX.ST.AFM.pcmprocessing.spl
182,ref_headset_playback_notification_effect_spl,OMX.ST.AFM.pcmprocessing.spl
183,ref_earpiece_playback_music_effect_spl,OMX.ST.AFM.pcmprocessing.spl
184,ref_mic_headset_recording_effect_spl,OMX.ST.AFM.pcmprocessing.spl
185,ref_mic_headset_videorecording_effect_spl,OMX.ST.AFM.pcmprocessing.spl
186,ref_mic_headset_voicerecognition_effect_spl,OMX.ST.AFM.pcmprocessing.spl
